"x" "y" "Q" "10x10" "20x20" "ha4plot" "Forest" "uneqID"
"126" 603332.79793 647241.32491 "4" "3" "L" "1" "A1" "3L1A1"
"127" 603334.70602 647231.50864 "4" "3" "L" "1" "A1" "3L1A1"
"128" 603324.88975 647229.60055 "4" "3" "L" "1" "A1" "3L1A1"
"129" 603316.98157 647217.876189999 "1" "1" "S" "1" "A1" "1S1A1"
"130" 603326.79784 647219.784279999 "1" "1" "S" "1" "A1" "1S1A1"
"131" 603324.88975 647229.60055 "1" "1" "S" "1" "A1" "1S1A1"
"132" 603315.07348 647227.69246 "1" "1" "S" "1" "A1" "1S1A1"
"133" 603318.88966 647208.059919999 "2" "4" "S" "1" "A1" "4S1A1"
"134" 603328.70593 647209.968009999 "2" "4" "S" "1" "A1" "4S1A1"
"135" 603326.79784 647219.784279999 "2" "4" "S" "1" "A1" "4S1A1"
"136" 603316.98157 647217.876189999 "2" "4" "S" "1" "A1" "4S1A1"
"137" 603326.79784 647219.784279999 "3" "2" "S" "1" "A1" "2S1A1"
"138" 603336.61411 647221.692369999 "3" "2" "S" "1" "A1" "2S1A1"
"139" 603334.70602 647231.50864 "3" "2" "S" "1" "A1" "2S1A1"
"140" 603324.88975 647229.60055 "3" "2" "S" "1" "A1" "2S1A1"
"141" 603328.70593 647209.968009999 "4" "3" "S" "1" "A1" "3S1A1"
"142" 603338.5222 647211.8761 "4" "3" "S" "1" "A1" "3S1A1"
"143" 603336.61411 647221.692369999 "4" "3" "S" "1" "A1" "3S1A1"
"144" 603326.79784 647219.784279999 "4" "3" "S" "1" "A1" "3S1A1"
"145" 603328.70593 647209.968009999 "1" "1" "V" "1" "A1" "1V1A1"
"146" 603330.61402 647200.151739999 "1" "1" "V" "1" "A1" "1V1A1"
"147" 603320.79775 647198.243649999 "1" "1" "V" "1" "A1" "1V1A1"
"148" 603318.88966 647208.059919999 "1" "1" "V" "1" "A1" "1V1A1"
"149" 603338.5222 647211.8761 "2" "4" "V" "1" "A1" "4V1A1"
"150" 603340.43029 647202.05983 "2" "4" "V" "1" "A1" "4V1A1"
"151" 603330.61402 647200.151739999 "2" "4" "V" "1" "A1" "4V1A1"
"152" 603328.70593 647209.968009999 "2" "4" "V" "1" "A1" "4V1A1"
"153" 603330.61402 647200.151739999 "3" "2" "V" "1" "A1" "2V1A1"
"154" 603332.52211 647190.335469999 "3" "2" "V" "1" "A1" "2V1A1"
"155" 603322.70584 647188.427379999 "3" "2" "V" "1" "A1" "2V1A1"
"156" 603320.79775 647198.243649999 "3" "2" "V" "1" "A1" "2V1A1"
"157" 603340.43029 647202.05983 "4" "3" "V" "1" "A1" "3V1A1"
"158" 603330.61402 647200.151739999 "4" "3" "V" "1" "A1" "3V1A1"
"159" 603332.52211 647190.335469999 "4" "3" "V" "1" "A1" "3V1A1"
"160" 603342.33838 647192.243559999 "4" "3" "V" "1" "A1" "3V1A1"
"161" 603323.25748 647290.40626 "1" "1" "C" "1" "A1" "1C1A1"
"162" 603325.16557 647280.589990001 "1" "1" "C" "1" "A1" "1C1A1"
"163" 603334.98184 647282.498080001 "1" "1" "C" "1" "A1" "1C1A1"
"164" 603333.07375 647292.31435 "1" "1" "C" "1" "A1" "1C1A1"
"165" 603333.07375 647292.31435 "2" "4" "C" "1" "A1" "4C1A1"
"166" 603334.98184 647282.498080001 "2" "4" "C" "1" "A1" "4C1A1"
"167" 603344.79811 647284.40617 "2" "4" "C" "1" "A1" "4C1A1"
"168" 603342.89002 647294.22244 "2" "4" "C" "1" "A1" "4C1A1"
"169" 603325.16557 647280.589990001 "3" "2" "C" "1" "A1" "2C1A1"
"170" 603334.98184 647282.498080001 "3" "2" "C" "1" "A1" "2C1A1"
"171" 603336.88993 647272.68181 "3" "2" "C" "1" "A1" "2C1A1"
"172" 603327.07366 647270.77372 "3" "2" "C" "1" "A1" "2C1A1"
"173" 603334.98184 647282.498080001 "4" "3" "C" "1" "A1" "3C1A1"
"174" 603344.79811 647284.40617 "4" "3" "C" "1" "A1" "3C1A1"
"175" 603346.7062 647274.5899 "4" "3" "C" "1" "A1" "3C1A1"
"176" 603336.88993 647272.68181 "4" "3" "C" "1" "A1" "3C1A1"
"177" 603328.98175 647260.95745 "1" "1" "H" "1" "A1" "1H1A1"
"178" 603338.79802 647262.86554 "1" "1" "H" "1" "A1" "1H1A1"
"179" 603336.88993 647272.68181 "1" "1" "H" "1" "A1" "1H1A1"
"180" 603327.07366 647270.77372 "1" "1" "H" "1" "A1" "1H1A1"
"181" 603330.88984 647251.14118 "2" "4" "H" "1" "A1" "4H1A1"
"182" 603340.70611 647253.04927 "2" "4" "H" "1" "A1" "4H1A1"
"183" 603338.79802 647262.86554 "2" "4" "H" "1" "A1" "4H1A1"
"184" 603328.98175 647260.95745 "2" "4" "H" "1" "A1" "4H1A1"
"185" 603336.88993 647272.68181 "3" "2" "H" "1" "A1" "2H1A1"
"186" 603346.7062 647274.5899 "3" "2" "H" "1" "A1" "2H1A1"
"187" 603348.61429 647264.77363 "3" "2" "H" "1" "A1" "2H1A1"
"188" 603338.79802 647262.86554 "3" "2" "H" "1" "A1" "2H1A1"
"189" 603338.79802 647262.86554 "4" "3" "H" "1" "A1" "3H1A1"
"190" 603348.61429 647264.77363 "4" "3" "H" "1" "A1" "3H1A1"
"191" 603350.52238 647254.957359999 "4" "3" "H" "1" "A1" "3H1A1"
"192" 603340.70611 647253.04927 "4" "3" "H" "1" "A1" "3H1A1"
"193" 603330.88984 647251.14118 "1" "1" "M" "1" "A1" "1M1A1"
"194" 603340.70611 647253.049269999 "1" "1" "M" "1" "A1" "1M1A1"
"195" 603342.6142 647243.233 "1" "1" "M" "1" "A1" "1M1A1"
"196" 603332.79793 647241.32491 "1" "1" "M" "1" "A1" "1M1A1"
"197" 603332.79793 647241.32491 "2" "4" "M" "1" "A1" "4M1A1"
"198" 603334.70602 647231.50864 "2" "4" "M" "1" "A1" "4M1A1"
"199" 603344.52229 647233.416729999 "2" "4" "M" "1" "A1" "4M1A1"
"200" 603342.6142 647243.233 "2" "4" "M" "1" "A1" "4M1A1"
"201" 603340.70611 647253.049269999 "3" "2" "M" "1" "A1" "2M1A1"
"202" 603342.6142 647243.233 "3" "2" "M" "1" "A1" "2M1A1"
"203" 603352.43047 647245.141089999 "3" "2" "M" "1" "A1" "2M1A1"
