"x" "y" "Q" "X10x10" "X20x20" "ha4plot" "Forest" "unqeID"
"106" 604347.483779 648258.465376019 3 3 "G" 1 "A1" "3G1A1"
"107" 604357.6770805 648258.70699203 3 3 "G" 1 "A1" "3G1A1"
"108" 604357.66257575 648248.568080574 3 3 "G" 1 "A1" "3G1A1"
"109" 604347.452538 648238.166182101 1 4 "G" 1 "A1" "4G1A1"
"110" 604347.4681585 648248.31577909 1 4 "G" 1 "A1" "4G1A1"
"111" 604357.66257575 648248.568080574 1 4 "G" 1 "A1" "4G1A1"
"112" 604357.648071 648238.429169089 1 4 "G" 1 "A1" "4G1A1"
"113" 604337.257005 648237.903195024 2 1 "H" 1 "A1" "1H1A1"
"114" 604337.27374125 648248.063477546 2 1 "H" 1 "A1" "1H1A1"
"115" 604347.4681585 648248.31577909 2 1 "H" 1 "A1" "1H1A1"
"116" 604347.452538 648238.166182101 2 1 "H" 1 "A1" "1H1A1"
"117" 604337.27374125 648248.063477546 4 2 "H" 1 "A1" "2H1A1"
"118" 604337.2904775 648258.223759979 4 2 "H" 1 "A1" "2H1A1"
"119" 604347.483779 648258.465376019 4 2 "H" 1 "A1" "2H1A1"
"120" 604347.4681585 648248.31577909 4 2 "H" 1 "A1" "2H1A1"
"121" 604327.079324 648247.811176002 3 3 "H" 1 "A1" "3H1A1"
"122" 604327.097176 648257.982143939 3 3 "H" 1 "A1" "3H1A1"
"123" 604337.2904775 648258.223759979 3 3 "H" 1 "A1" "3H1A1"
"124" 604337.27374125 648248.063477546 3 3 "H" 1 "A1" "3H1A1"
"125" 604327.061472 648237.640207946 1 4 "H" 1 "A1" "4H1A1"
"126" 604327.079324 648247.811176002 1 4 "H" 1 "A1" "4H1A1"
"127" 604337.27374125 648248.063477546 1 4 "H" 1 "A1" "4H1A1"
"128" 604337.257005 648237.903195024 1 4 "H" 1 "A1" "4H1A1"
"129" 604316.865939 648237.377220958 2 1 "I" 1 "A1" "1I1A1"
"130" 604316.88490675 648247.558874518 2 1 "I" 1 "A1" "1I1A1"
"131" 604327.079324 648247.811176002 2 1 "I" 1 "A1" "1I1A1"
"132" 604327.061472 648237.640207946 2 1 "I" 1 "A1" "1I1A1"
"133" 604316.88490675 648247.558874518 4 2 "I" 1 "A1" "2I1A1"
"134" 604316.9038745 648257.740527958 4 2 "I" 1 "A1" "2I1A1"
"135" 604327.097176 648257.982143939 4 2 "I" 1 "A1" "2I1A1"
"136" 604327.079324 648247.811176002 4 2 "I" 1 "A1" "2I1A1"
"137" 604306.6904895 648247.306573033 3 3 "I" 1 "A1" "3I1A1"
"138" 604306.710573 648257.498911977 3 3 "I" 1 "A1" "3I1A1"
