"Species" "elev" "x" "y" "dden"
"134" "Dipterocarpus_caudiferus" 68.40601 604865.1979 647470.8026 0
"135" "Dipterocarpus_caudiferus" 73.235 604966.4719 647592.5861 0
"136" "Dipterocarpus_caudiferus" 67.62901 604918.4845 647601.7181 0
"137" "Dipterocarpus_caudiferus" 74.273 604901.9212 647575.8936 0
"138" "Dipterocarpus_caudiferus" 67.505 604822.5454 647592.3431 0
"139" "Dipterocarpus_caudiferus" 64.05901 605378.1735 647466.1424 0
"140" "Dipterocarpus_caudiferus" 64.04401 605413.0082 647600.7124 0
"141" "Dipterocarpus_caudiferus" 69.16 605593.9388 647540.2132 0
"142" "Dipterocarpus_caudiferus" 80.194 605568.1564 647512.5301 0
"143" "Dipterocarpus_caudiferus" 68.78001 605579.2872 647477.5394 0
"144" "Dipterocarpus_caudiferus" 58.799 605673.387 647481.3845 0
"145" "Dipterocarpus_caudiferus" 66.208 605674.9836 647623.2687 0
"146" "Dipterocarpus_caudiferus" 62.263 605845.1223 647619.8731 0
"147" "Dipterocarpus_caudiferus" 62.053 605838.4871 647615.4395 0
"148" "Dipterocarpus_caudiferus" 59.063 605821.8707 647620.9391 0
"149" "Dipterocarpus_caudiferus" 63.206 605849.5904 647596.6637 0
"150" "Dipterocarpus_caudiferus" 61.757 605782.1854 647520.2646 0
"151" "Dipterocarpus_caudiferus" 59.942 605826.512 647496.0175 0
"152" "Dipterocarpus_caudiferus" 63.42 606025.8684 647453.7313 0
"153" "Dipterocarpus_caudiferus" 59.953 606031.7096 647638.0032 0
"154" "Dipterocarpus_caudiferus" 61.825 606013.4791 647505.9178 0
"155" "Dipterocarpus_caudiferus" 72.01601 604371.0235 647263.5983 0
"156" "Dipterocarpus_caudiferus" 68.937 604448.501 647276.6267 0
"157" "Dipterocarpus_caudiferus" 68.065 604546.1483 647363.3936 0
"158" "Dipterocarpus_caudiferus" 69.096 604544.3259 647354.1775 0
"159" "Dipterocarpus_caudiferus" 68.611 604571.9112 647409.5023 0
"160" "Dipterocarpus_caudiferus" 68.771 604555.3135 647403.9465 0
"161" "Dipterocarpus_caudiferus" 68.843 604518.3306 647446.2643 0
"162" "Dipterocarpus_caudiferus" 68.58 604525.8577 647361.5168 0
"163" "Dipterocarpus_caudiferus" 68.43201 604511.0687 647379.9181 0
"164" "Dipterocarpus_caudiferus" 71.59901 604433.4984 647422.1678 0
"165" "Dipterocarpus_caudiferus" 69.01601 604420.5411 647444.2573 0
"166" "Dipterocarpus_caudiferus" 69.36301 604455.8113 647320.8617 0
"167" "Dipterocarpus_caudiferus" 69.648 604505.691 647285.9359 0
"168" "Dipterocarpus_caudiferus" 72.192 604533.4188 647256.5006 0
"169" "Dipterocarpus_caudiferus" 71.35001 604557.2692 647333.9305 0
"170" "Dipterocarpus_caudiferus" 68.967 604551.718 647343.1343 0
"171" "Dipterocarpus_caudiferus" 70.32401 604549.9019 647330.2329 0
"172" "Dipterocarpus_caudiferus" 71.394 604537.0405 647295.2016 0
"173" "Dipterocarpus_caudiferus" 73.37901 604548.118 647291.535 0
"174" "Dipterocarpus_caudiferus" 69.648 604640.2171 647385.6632 0
"175" "Dipterocarpus_caudiferus" 77.442 604682.6334 647404.1608 0
"176" "Dipterocarpus_caudiferus" 77.19701 604682.5962 647426.2721 0
"177" "Dipterocarpus_caudiferus" 76.972 604686.2798 647428.1208 0
"178" "Dipterocarpus_caudiferus" 77.619 604682.6427 647398.633 0
"179" "Dipterocarpus_caudiferus" 68.248 604721.3364 647431.8652 0
"180" "Dipterocarpus_caudiferus" 73.856 604758.3177 647384.0195 0
"181" "Dipterocarpus_caudiferus" 77.19901 604964.9888 647382.5256 0
"182" "Dipterocarpus_caudiferus" 60.87 605299.0628 647325.9695 0
"183" "Dipterocarpus_caudiferus" 61.701 605474.1911 647429.4529 0
"184" "Dipterocarpus_caudiferus" 59.168 605361.8883 647276.3253 0
"185" "Dipterocarpus_caudiferus" 63.196 605356.3682 647267.1029 0
"186" "Dipterocarpus_caudiferus" 67.468 605536.9368 647420.3463 0
"187" "Dipterocarpus_caudiferus" 57.543 605507.4488 647403.7127 0
"188" "Dipterocarpus_caudiferus" 58.918 605511.1355 647403.719 0
"189" "Dipterocarpus_caudiferus" 68.773 605527.7206 647416.6455 0
"190" "Dipterocarpus_caudiferus" 57.688 605525.9468 647372.4197 0
"191" "Dipterocarpus_caudiferus" 61.779 605470.6683 647326.2604 0
"192" "Dipterocarpus_caudiferus" 66.136 605481.6521 647377.8723 0
"193" "Dipterocarpus_caudiferus" 67.35101 605367.3084 647344.5113 0
"194" "Dipterocarpus_caudiferus" 58.391 605703.8141 647381.9349 0
"195" "Dipterocarpus_caudiferus" 63.431 605670.7655 647284.5885 0
"196" "Dipterocarpus_caudiferus" 59.25 605570.9432 647390.5537 0
"197" "Dipterocarpus_caudiferus" 70.08601 604420.962 647193.663 0
"198" "Dipterocarpus_caudiferus" 70.262 604325.146 647110.5846 0
"199" "Dipterocarpus_caudiferus" 59.876 605013.3934 647126.4839 0
"200" "Dipterocarpus_caudiferus" 69.35001 605050.3222 647109.9628 0
"201" "Dipterocarpus_caudiferus" 63.169 605030.0036 647124.6693 0
"202" "Dipterocarpus_caudiferus" 60.282 605017.0895 647120.9623 0
"203" "Dipterocarpus_caudiferus" 73.429 605050.3098 647117.3333 0
"204" "Dipterocarpus_caudiferus" 65.55901 605024.5083 647100.7061 0
"205" "Dipterocarpus_caudiferus" 59.392 604994.9966 647091.4432 0
"206" "Dipterocarpus_caudiferus" 60.814 605061.431 647087.8702 0
"207" "Dipterocarpus_caudiferus" 75.714 605863.2268 647247.695 0
"208" "Dipterocarpus_caudiferus" 81.707 604418.0388 647833.0442 0
"209" "Dipterocarpus_caudiferus" 82.108 604423.5713 647834.8961 0
"210" "Dipterocarpus_caudiferus" 75.64301 604379.2029 647884.5721 0
"211" "Dipterocarpus_caudiferus" 70.537 604386.4604 647960.1313 0
"212" "Dipterocarpus_caudiferus" 75.076 604403.0734 647956.474 0
"213" "Dipterocarpus_caudiferus" 78.04301 604332.9348 647971.097 0
"214" "Dipterocarpus_caudiferus" 75.524 604349.6902 647882.6798 0
"215" "Dipterocarpus_caudiferus" 72.777 604440.0325 647921.5265 0
"216" "Dipterocarpus_caudiferus" 72.343 604600.5773 647914.4262 0
"217" "Dipterocarpus_caudiferus" 79.72701 604436.2312 647989.6968 0
"218" "Dipterocarpus_caudiferus" 79.008 604428.8281 648000.74 0
"219" "Dipterocarpus_caudiferus" 73.61301 604510.1916 647901.3758 0
"220" "Dipterocarpus_caudiferus" 68.636 604698.5107 647837.2015 0
"221" "Dipterocarpus_caudiferus" 78.96101 604624.6586 647861.031 0
"222" "Dipterocarpus_caudiferus" 76.93 604650.4753 647868.445 0
"223" "Dipterocarpus_caudiferus" 66.85101 604788.9028 647846.567 0
"224" "Dipterocarpus_caudiferus" 69.8 604748.2349 647894.4064 0
"225" "Dipterocarpus_caudiferus" 72.35201 604738.9766 647909.1316 0
"226" "Dipterocarpus_caudiferus" 70.189 604736.9928 647995.7312 0
"227" "Dipterocarpus_caudiferus" 67.41801 604892.2726 647828.3153 0
"228" "Dipterocarpus_caudiferus" 67.578 604949.479 647821.0415 0
"229" "Dipterocarpus_caudiferus" 67.555 604943.8376 647883.6809 0
"230" "Dipterocarpus_caudiferus" 67.16801 604862.7146 647846.6916 0
"231" "Dipterocarpus_caudiferus" 67.174 604958.5505 647916.8728 0
"232" "Dipterocarpus_caudiferus" 66.464 604886.4725 647984.9278 0
"233" "Dipterocarpus_caudiferus" 67.579 604990.0804 647819.2675 0
"234" "Dipterocarpus_caudiferus" 70.50401 605174.4985 647882.2284 0
"235" "Dipterocarpus_caudiferus" 69.189 605155.9461 647939.318 0
"236" "Dipterocarpus_caudiferus" 72.10201 605126.4472 647922.6846 0
"237" "Dipterocarpus_caudiferus" 68.551 605085.7229 648003.6907 0
"238" "Dipterocarpus_caudiferus" 73.26601 605089.4595 647974.2152 0
"239" "Dipterocarpus_caudiferus" 71.841 605087.5857 647988.9529 0
"240" "Dipterocarpus_caudiferus" 72.498 605087.5982 647981.5825 0
"241" "Dipterocarpus_caudiferus" 75.397 605104.2549 647952.1289 0
"242" "Dipterocarpus_caudiferus" 66.625 605067.2891 647990.7613 0
"243" "Dipterocarpus_caudiferus" 67.376 605015.8503 647854.3207 0
"244" "Dipterocarpus_caudiferus" 70.13 605032.4447 647861.7193 0
"245" "Dipterocarpus_caudiferus" 68.939 605028.7549 647863.5557 0
"246" "Dipterocarpus_caudiferus" 68.049 605041.6033 647905.9575 0
"247" "Dipterocarpus_caudiferus" 70.05801 605102.6291 647826.8282 0
"248" "Dipterocarpus_caudiferus" 67.737 605161.6626 647832.456 0
"249" "Dipterocarpus_caudiferus" 66.98801 605132.0701 647871.1008 0
"250" "Dipterocarpus_caudiferus" 70.314 605168.9598 647884.0616 0
"251" "Dipterocarpus_caudiferus" 73.478 605357.1393 647902.8067 0
"252" "Dipterocarpus_caudiferus" 69.869 605270.2981 647967.151 0
"253" "Dipterocarpus_caudiferus" 69.594 605268.4415 647978.2036 0
"254" "Dipterocarpus_caudiferus" 74.992 605489.8908 647963.8384 0
"255" "Dipterocarpus_caudiferus" 74.704 605678.0764 647978.8993 0
"256" "Dipterocarpus_caudiferus" 74.15 605738.9796 647972.2467 0
"257" "Dipterocarpus_caudiferus" 60.775 605886.8122 647843.5152 0
"258" "Dipterocarpus_caudiferus" 76.859 605726.6691 647978.3677 0
"259" "Dipterocarpus_caudiferus" 61.655 605898.9919 647914.1697 0
"260" "Dipterocarpus_caudiferus" 63.099 605948.104 647972.6031 0
"261" "Dipterocarpus_caudiferus" 67.25401 605948.235 647895.8274 0
"262" "Dipterocarpus_caudiferus" 66.243 605985.0778 647929.6717 0
"263" "Dipterocarpus_caudiferus" 63.897 605966.6797 647895.8589 0
"264" "Dipterocarpus_caudiferus" 61.865 605994.4312 647852.9119 0
"265" "Dipterocarpus_caudiferus" 72.90401 605991.2748 647898.9719 0
"266" "Dipterocarpus_caudiferus" 67.716 606015.9123 647883.6588 0
"267" "Dipterocarpus_caudiferus" 60.724 606074.3878 647853.0484 0
"268" "Dipterocarpus_caudiferus" 63.151 606080.4123 647929.8345 0
"269" "Dipterocarpus_caudiferus" 62.879 606064.9923 647954.3764 0
"270" "Dipterocarpus_caudiferus" 62.125 606055.8277 647920.5794 0
"271" "Dipterocarpus_caudiferus" 62.08 606051.6421 647920.9408 0
"272" "Dipterocarpus_caudiferus" 83.658 604440.2308 647803.5997 0
"273" "Dipterocarpus_caudiferus" 77.978 604418.0729 647812.7755 0
"274" "Dipterocarpus_caudiferus" 74.302 604325.8753 647777.611 0
"275" "Dipterocarpus_caudiferus" 72.417 604298.3736 647672.536 0
"276" "Dipterocarpus_caudiferus" 76.71101 604370.3025 647692.9255 0
"277" "Dipterocarpus_caudiferus" 69.90401 604610.1892 647689.6437 0
"278" "Dipterocarpus_caudiferus" 78.607 604571.5298 647636.1429 0
"279" "Dipterocarpus_caudiferus" 69.438 604582.4243 647741.1901 0
"280" "Dipterocarpus_caudiferus" 80.82401 604576.8297 647776.1903 0
"281" "Dipterocarpus_caudiferus" 79.176 604480.8661 647781.5567 0
"282" "Dipterocarpus_caudiferus" 73.052 604530.6246 647818.4927 0
"283" "Dipterocarpus_caudiferus" 67.478 604803.9484 647682.5998 0
"284" "Dipterocarpus_caudiferus" 66.92001 604691.415 647665.8265 0
"285" "Dipterocarpus_caudiferus" 68.413 604693.118 647752.4323 0
"286" "Dipterocarpus_caudiferus" 67.687 604833.4333 647701.0757 0
"287" "Dipterocarpus_caudiferus" 68.93501 604907.3231 647655.135 0
"288" "Dipterocarpus_caudiferus" 77.123 604918.245 647743.5989 0
"289" "Dipterocarpus_caudiferus" 73.47 604912.7436 647723.3209 0
"290" "Dipterocarpus_caudiferus" 76.119 604899.783 647747.253 0
"291" "Dipterocarpus_caudiferus" 67.408 604951.3528 647806.3038 0
"292" "Dipterocarpus_caudiferus" 66.846 604809.3442 647765.5265 0
"293" "Dipterocarpus_caudiferus" 67.229 605156.205 647786.3815 0
"294" "Dipterocarpus_caudiferus" 70.07101 605040.0099 647754.8604 0
"295" "Dipterocarpus_caudiferus" 73.23701 604988.4619 647682.9113 0
"296" "Dipterocarpus_caudiferus" 59.533 605857.3427 647809.6837 0
"297" "Dipterocarpus_caudiferus" 59.701 605886.8603 647815.2619 0
"298" "Dipterocarpus_caudiferus" 60.781 605897.9379 647811.5954 0
"299" "Dipterocarpus_caudiferus" 60.802 606067.9357 647670.0038 0
"300" "Dipterocarpus_caudiferus" 60.191 606055.0549 647653.3982 0
"301" "Dipterocarpus_caudiferus" 63.06 605914.5374 647815.9232 0
"302" "Dipterocarpus_caudiferus" 74.533 606016.1115 647766.96 0
"303" "Dipterocarpus_confertus" 85.856 604966.6618 647480.1869 0
"304" "Dipterocarpus_confertus" 88.44501 605222.9289 647611.4459 0
"305" "Dipterocarpus_confertus" 79.33401 605230.4476 647532.2262 0
"306" "Dipterocarpus_confertus" 86.14001 605523.7304 647595.3724 0
"307" "Dipterocarpus_confertus" 83.883 605518.1854 647600.8909 0
"308" "Dipterocarpus_confertus" 62.469 605828.5719 647586.6778 0
"309" "Dipterocarpus_confertus" 63.539 605839.6714 647570.1131 0
"310" "Dipterocarpus_confertus" 61.777 605836.4423 647515.9347 0
"311" "Dipterocarpus_confertus" 82.715 604260.261 647292.8943 0
"312" "Dipterocarpus_confertus" 85.178 604332.1286 647350.1357 0
"313" "Dipterocarpus_confertus" 92.549 604319.1867 647363.0123 0
"314" "Dipterocarpus_confertus" 89.25001 604324.6513 647405.4015 0
"315" "Dipterocarpus_confertus" 76.33401 604747.2526 647380.3156 0
"316" "Dipterocarpus_confertus" 83.886 604819.3279 647314.1031 0
"317" "Dipterocarpus_confertus" 72.82301 604843.2573 647350.9956 0
"318" "Dipterocarpus_confertus" 87.452 604881.9354 647393.4411 0
"319" "Dipterocarpus_confertus" 75.866 604904.05 647410.0619 0
"320" "Dipterocarpus_confertus" 70.874 604924.3468 647408.2535 0
"321" "Dipterocarpus_confertus" 91.909 605079.3637 647397.4597 0
"322" "Dipterocarpus_confertus" 91.971 605051.6201 647436.1077 0
"323" "Dipterocarpus_confertus" 66.65501 605347.1208 647281.8281 0
"324" "Dipterocarpus_confertus" 73.263 605523.987 647444.2784 0
"325" "Dipterocarpus_confertus" 58.452 605496.5995 647272.8686 0
"326" "Dipterocarpus_confertus" 58.362 605465.2046 647283.871 0
"327" "Dipterocarpus_confertus" 64.011 605396.7981 647366.6727 0
"328" "Dipterocarpus_confertus" 62.13 605866.4761 647433.068 0
"329" "Dipterocarpus_confertus" 68.076 605903.1885 647329.2069 0
"330" "Dipterocarpus_confertus" 70.03001 605748.2725 647280.298 0
"331" "Dipterocarpus_confertus" 83.633 605964.5812 647321.5725 0
"332" "Dipterocarpus_confertus" 91.936 604249.3194 647215.4863 0
"333" "Dipterocarpus_confertus" 75.62 604734.7794 647114.9584 0
"334" "Dipterocarpus_confertus" 84.747 604649.9034 647116.6581 0
"335" "Dipterocarpus_confertus" 88.12901 604633.3025 647112.9449 0
"336" "Dipterocarpus_confertus" 87.289 604640.5241 647203.2451 0
"337" "Dipterocarpus_confertus" 86.451 604644.2033 647214.307 0
"338" "Dipterocarpus_confertus" 87.29601 604834.1699 647264.3775 0
"339" "Dipterocarpus_confertus" 86.68301 604834.173 647262.5349 0
"340" "Dipterocarpus_confertus" 88.54201 604838.0231 647172.2534 0
"341" "Dipterocarpus_confertus" 58.227 605002.3843 647089.6131 0
"342" "Dipterocarpus_confertus" 70.202 605267.8194 647254.0546 0
"343" "Dipterocarpus_confertus" 73.271 605168.1711 647257.5711 0
"344" "Dipterocarpus_confertus" 60.089 605510.5031 647124.0087 0
"345" "Dipterocarpus_confertus" 61.624 605577.1886 647259.4927 0
"346" "Dipterocarpus_confertus" 62.103 605626.4999 647201.227 0
"347" "Dipterocarpus_confertus" 64.50301 605706.4833 647186.0078 0
"348" "Dipterocarpus_confertus" 78.025 605666.5933 647133.7325 0
"349" "Dipterocarpus_confertus" 65.145 605568.1434 647155.0625 0
"350" "Dipterocarpus_confertus" 103.033 605891.1562 647100.3332 0
"351" "Dipterocarpus_confertus" 59.04 605740.3122 647189.1364 0
"352" "Dipterocarpus_confertus" 74.68201 605749.4145 647259.7854 0
"353" "Dipterocarpus_confertus" 74.609 605770.9476 647253.6801 0
"354" "Dipterocarpus_confertus" 79.82301 605860.196 647220.0506 0
"355" "Dipterocarpus_confertus" 106.32001 605955.4791 647250.9232 0
"356" "Dipterocarpus_confertus" 114.25301 605992.537 647158.8555 0
"357" "Dipterocarpus_confertus" 84.023 605443.782 647949.0191 0
"358" "Dipterocarpus_confertus" 84.468 605606.2827 647879.2758 0
"359" "Dipterocarpus_confertus" 87.92001 605342.5266 647810.6511 0
"360" "Dipterocarpus_confertus" 80.899 605182.0966 647749.5729 0
"361" "Dipterocarpus_confertus" 84.535 605213.6784 647628.0138 0
"362" "Dipterocarpus_confertus" 85.036 605322.4235 647698.2175 0
"363" "Dipterocarpus_confertus" 79.777 605337.0441 647779.3173 0
"364" "Dipterocarpus_confertus" 96.562 605527.2638 647685.6667 0
"365" "Dipterocarpus_confertus" 87.22601 605648.96 647737.4669 0
"366" "Dipterocarpus_confertus" 78.43301 605684.0823 647702.5168 0
"367" "Dipterocarpus_confertus" 81.803 605575.2137 647698.6465 0
"368" "Dipterocarpus_confertus" 76.77 605625.1284 647643.4528 0
"369" "Dipterocarpus_confertus" 84.04601 605672.8386 647803.8417 0
