"e" "d" "n"
"181" 82.7913358333333 0.545416666666667 12
"182" 90.9261133333333 0.597222222222222 9
"183" 74.6013366666667 0.468888888888889 12
"184" 69.5067185714286 0.498095238095238 7
"185" 68.930065 0.473333333333333 16
"186" 68.6554752941177 0.4853081232493 17
"187" 68.4242525 0.481428571428571 12
"188" 69.8168 0.505880952380952 10
"189" 74.520335 0.510970568783069 12
"190" 76.5861166666667 0.493333333333333 9
"191" 71.2662763636364 0.483679653679654 11
"192" 76.412003125 0.485833333333333 16
"193" 83.7323672727273 0.465 11
"194" 76.8204328571428 0.518333333333333 7
"195" 80.7241464285714 0.50406746031746 14
"196" 89.1142046666667 0.526 15
"197" 83.505206 0.514 10
"198" 81.6118607142857 0.502168803418803 14
"199" 99.4282923809524 0.526825396825397 21
"200" 91.0551854545455 0.521818181818182 11
"201" 66.3670016666667 0.529166666666667 6
"202" 64.273 0.52 3
"203" 67.32 0.550151515151515 11
"204" 70.331202 0.454 5
"205" 60.8481818181818 0.50517316017316 11
"206" 59.376 0.447380952380952 3
"207" 58.642 0.44 1
"208" 58.4021428571429 0.437142857142857 7
"209" 58.7985 0.448690476190476 6
"210" 58.7026 0.435333333333333 5
"211" 58.6506666666667 0.422222222222222 3
"212" 59.269 0.48452380952381 7
"213" 61.476301 0.474166666666667 10
"214" 62.44825 0.511753472222222 8
"215" 70.980725 0.5421875 18
"216" 75.5242026666667 0.535888888888889 15
"217" 80.03562875 0.478125 8
"218" 82.9263130769231 0.446410256410256 13
"219" 75.2121584615385 0.493888888888889 13
"220" 71.1805757142857 0.515068027210884 14
"221" 69.0203333333333 0.404444444444444 3
"222" 68.477 0.490119047619048 4
"223" 68.4501675 0.495773809523809 12
"224" 70.4433333333333 0.435555555555555 3
"225" 75.61643 0.545544217687075 14
"226" 69.255468 0.470698412698413 15
"227" 70.2094581818182 0.526103896103896 11
"228" 77.1943115384615 0.466282051282051 13
"229" 73.8859191666667 0.485833333333333 12
"230" 72.2262 0.473 5
"231" 74.0931275 0.470416666666667 8
"232" 87.88908 0.486666666666667 13
"233" 87.652005 0.495 6
"234" 85.7487715384615 0.503717948717949 13
"235" 85.3313341666667 0.475 12
"236" 84.2744183333333 0.549444444444444 12
"237" 90.3871791304348 0.510869565217391 23
"238" 69.941602 0.476333333333333 5
"239" 66.0705 0.52 2
"240" 64.94443 0.55530612244898 7
"241" 70.35308 0.516153846153846 13
"242" 63.534 0.576071428571429 4
"243" 62.3858 0.514805555555556 5
"244" 63.78 0.479675925925926 6
"245" 58.1495 0.426388888888889 6
"247" 59.8943333333333 0.371666666666667 3
"248" 60.1949 0.499666666666667 10
"249" 59.8003333333333 0.423726851851852 6
"250" 59.5568333333333 0.395972222222222 12
"251" 60.842 0.541095238095238 5
"252" 60.5650918181818 0.511287878787879 11
"253" 71.44525375 0.569375 8
"254" 76.2432525 0.455 4
"255" 77.4820033333333 0.448148148148148 9
"256" 75.5118218181818 0.512460317460318 11
"257" 73.779505 0.507013888888889 2
"258" 68.52689 0.44375 9
"259" 68.3902053333333 0.460357142857143 15
"260" 70.054606 0.510666666666667 5
"261" 70.5922994117647 0.519075630252101 17
"262" 70.5759118181818 0.552402597402597 11
"263" 68.5665025 0.39875 4
"264" 69.7149314285714 0.405238095238095 14
"265" 72.719404 0.491714285714286 10
"266" 76.485503125 0.458125 16
"267" 82.3682244444445 0.550208333333333 9
"268" 76.2954314285714 0.486190476190476 7
"269" 86.006005 0.56875 4
"270" 86.7474208333333 0.471805555555555 12
"271" 79.5871275 0.491666666666667 8
"272" 83.054202 0.4 5
"273" 89.043106 0.523333333333333 10
"274" 85.8045066666667 0.546388888888889 6
"275" 64.5580016666667 0.520079365079365 6
"276" 75.401204 0.507 5
"277" 78.6990022222222 0.446666666666667 9
"278" 69.1587 0.503714285714286 10
"279" 66.2092277777778 0.497275132275132 9
"280" 59.1441666666667 0.517579365079365 6
"281" 58.0665 0.4625 2
"282" 62.359 0.426666666666667 3
"283" 59.4305 0.442857142857143 6
"284" 62.3400016666667 0.451666666666667 6
"285" 60.8465 0.442916666666667 8
"286" 58.98 0.53 1
"287" 64.92075 0.523035714285714 4
"288" 68.48250375 0.450711805555556 8
"289" 80.2915016666667 0.538333333333333 6
"290" 73.10767 0.516666666666667 9
