species,top_volume,bottom_volume,top_weight,bottom_weight,top_density,bottom_density,site,plot,block,position,Sp,number,height,Dia,sampleWoodTip,sampleWoodBase
ssem19,6.43,12.17,3.4,7.3,0.5287713841,0.5998356615,A1,6,H,19,ssem,1,127,15.82,70,115
ssem22,2.47,7.58,1.2,4.4,0.4858299595,0.580474934,A1,6,H,22,ssem,2,123,12.46,60,115
ssem30,3.79,10.59,1.9,6.3,0.5013192612,0.5949008499,A1,6,H,30,ssem,4,107,13.51,50,100
ssem53,6.79,13.6,3.3,8.5,0.4860088365,0.625,A1,5,H,53,ssem,1,153,12.7,70,146
ssem54,11.63,23.84,5.5,13.6,0.4729148753,0.5704697987,A1,6,L,54,ssem,1,171,18.7,100,163
ssem56,7.34,16.66,3,9.6,0.408719346,0.5762304922,A1,8,L,56,ssem,1,199,16.62,100,190
ssem61,3.05,3.5,1.4,1.9,0.4590163934,0.5428571429,A1,5,H,61,ssem,2,81,8.31,50,75
ssmi13,3.28,7.26,1,2.4,0.3048780488,0.3305785124,A1,6,H,13,ssmi,1,146,12.49,40,139
ssmi20,1.63,4.95,0.6,1.9,0.3680981595,0.3838383838,A1,5,H,20,ssmi,3,119,12.45,60,114
ssmi36,2.69,8.01,0.8,2.9,0.2973977695,0.3620474407,A1,5,H,36,ssmi,2,105,11.44,50,100
ssmi4?,6.98,10.72,2.4,4.3,0.3438395415,0.401119403,A1,5,H,46,ssmi,1,180,15.6,100,174
ssmi49,9.46,10.4,3,3.9,0.3171247357,0.375,A1,5,H,49,ssmi,4,170,15.62,100,165
ssmi50,4.03,12.13,1.4,5.5,0.3473945409,0.4534212696,A1,6,H,50,ssmi,2,113,13.58,50,125
swal19,7.2,15.64,2.3,6.6,0.3194444444,0.4219948849,A2,6,H,19,swal,4,138,17.58,60,130
swal2,5.98,6.4,2.2,2.9,0.3678929766,0.453125,A2,1,H,2,swal,1,185,11.12,50,90
swal21,8.77,15.33,3.4,7,0.3876852908,0.4566210046,A2,1,H,21,swal,4,150,15.6,60,140
swal35,2.04,2.82,0.7,1.3,0.3431372549,0.4609929078,A1,5,H,35,swal,2,55,7.3,25,50
Swal45,4.52,7.97,1.9,4.1,0.4203539823,0.5144291092,A2,1,H,45,swal,3,93,11.45,40,83
swal57,4.11,7.4,1.6,3.2,0.3892944039,0.4324324324,A2,6,H,57,swal,3,72,11.45,30,63
sxan10,2.6,6.61,1.1,3.3,0.4230769231,0.4992435703,A1,6,H,10,sxan,2,94,12.48,40,85
sxan16,9.17,14.13,4.1,7.2,0.4471101418,0.5095541401,A1,6,H,16,sxan,3,118,17.59,70,112
sxan18,2.02,6.13,0.9,3,0.4455445545,0.4893964111,A1,5,H,18,sxan,1,72,11.42,35,65
sxan37,1.24,4,0.5,2,0.4032258065,0.5,A1,5,H,37,sxan,2,95,8.32,50,89
sxan62?42,4.32,6.89,2,3.4,0.462962963,0.4934687954,A1,6,H,42,sxan,1,93,12.48,50,85
sxan9,3.2,9.49,1.4,4.4,0.4375,0.4636459431,A2,6,H,9,sxan,1,124,14.58,60,117
