"RP" "Forest" "Forest.1" "Area.ha." "ha4plot" "X20x20" "X10x10" "Tree" "Genus" "Species" "Family" "Diam2000" "BAm2" "CP" "POM" "Remarks" "unqeID" "x" "y" "elev" "sp" "dden"
"20127" "508/3" "S3" "Sandstone" 0.4 1 "I" 3 "26" "Dipterocarpus" "Dipterocarpus_acutangulus" "Dipterocarpaceae" 82.2 0.53 "5" "1.3" NA "3I1S3" 603820.5108 647983.529 107.6096352 "Dacu" 0.635
"20178" "508/3" "S3" "Sandstone" 0.4 1 "J" 3 "35" "Dipterocarpus" "Dipterocarpus_acutangulus" "Dipterocarpaceae" 92 0.664 "5" "1.3" NA "3J1S3" 603822.7209 648002.7449 103.1557323 "Dacu" 0.635
"20238" "508/3" "S3" "Sandstone" 0.5 1 "K" 3 "34" "Dipterocarpus" "Dipterocarpus_acutangulus" "Dipterocarpaceae" 99 0.769 "5" "2.1" NA "3K1S3" 603802.1224 648004.6601 102.302465 "Dacu" 0.635
"21512" "508/3" "S3" "Sandstone" 1.4 2 "G" 4 "46" "Dipterocarpus" "Dipterocarpus_acutangulus" "Dipterocarpaceae" 41.3 0.134 "4" "1.3" NA "4G2S3" 603795.9178 647860.0143 104.8021478 "Dacu" 0.635
"21583" "508/3" "S3" "Sandstone" 1.4 2 "I" 1 "6" "Dipterocarpus" "Dipterocarpus_acutangulus" "Dipterocarpaceae" 102 0.817 "5" "3.7" NA "1I2S3" 603810.5652 647897.0577 112.450288 "Dacu" 0.635
"21797" "508/3" "S3" "Sandstone" 1.6 2 "L" 4 "76" "Dipterocarpus" "Dipterocarpus_acutangulus" "Dipterocarpaceae" 40.2 0.127 "4" "1.3" NA "4L2S3" 603779.8261 647900.8781 107.6328113 "Dacu" 0.635
"21876" "508/3" "S3" "Sandstone" 1.6 2 "N" 1 "5" "Dipterocarpus" "Dipterocarpus_acutangulus" "Dipterocarpaceae" 81.3 0.519 "5" "1.7" NA "1N2S3" 603785.6907 647861.4026 107.8902549 "Dacu" 0.635
"21999" "508/3" "S3" "Sandstone" 1.8 2 "P" 4 "39" "Dipterocarpus" "Dipterocarpus_acutangulus" "Dipterocarpaceae" 51.2 0.206 "4" "1.7" NA "4P2S3" 603752.8473 647846.6388 121.1820881 "Dacu" 0.635
"22039" "508/3" "S3" "Sandstone" 1.8 2 "Q" 2 "27" "Dipterocarpus" "Dipterocarpus_acutangulus" "Dipterocarpaceae" 60.2 0.284 "5" "1.3" NA "2Q2S3" 603764.1506 647854.6862 114.9574601 "Dacu" 0.635
"22076" "508/3" "S3" "Sandstone" 1.8 2 "Q" 4 "78" "Dipterocarpus" "Dipterocarpus_acutangulus" "Dipterocarpaceae" 41.5 0.135 "4" "1.3" NA "4Q2S3" 603755.0094 647865.5675 113.0790862 "Dacu" 0.635
