"e" "d" "n"
"186" 81.1450025 0.57875 8
"187" 83.66591 0.561818181818182 11
"188" 73.47337875 0.495625 8
"189" 69.2790014285714 0.488571428571429 7
"190" 69.128702 0.435666666666666 10
"191" 69.1103377777778 0.456322751322751 18
"192" 69.6390025 0.570615079365079 12
"193" 71.3907171428571 0.449285714285714 7
"194" 71.017404 0.514666666666667 5
"195" 77.08746 0.486275252525253 11
"196" 72.3562871428571 0.506428571428571 7
"197" 74.5887157142857 0.515238095238095 7
"198" 81.0995757142857 0.521666666666667 7
"199" 80.0997525 0.49625 4
"200" 81.8591223529412 0.577083333333333 17
"201" 89.526138 0.552888888888889 15
"202" 84.5401457142857 0.524761904761905 7
"203" 85.0843366666667 0.504907407407407 9
"204" 92.171206 0.497142857142857 15
"205" 102.327222608696 0.504057971014493 23
"206" 83.25284 0.490833333333333 6
"207" 60.7454 0.505095238095238 5
"208" 65.370002 0.542428571428571 5
"209" 63.4702222222222 0.51962962962963 9
"210" 64.5442871428571 0.504353741496599 7
"211" 62.8274572727273 0.469545454545455 11
"212" 57.5765 0.38 2
"213" 58.18825 0.493506944444445 4
"214" 58.9223333333333 0.410555555555556 6
"215" 59.40975 0.466840277777778 4
"216" 59.0351666666667 0.431666666666667 12
"217" 58.4205 0.420833333333334 2
"218" 61.817625 0.446666666666667 8
"219" 63.8415481818182 0.503939393939394 11
"220" 71.7000918181818 0.554848484848485 11
"221" 80.304872173913 0.538560606060606 23
"222" 86.6211461904762 0.532063492063492 21
"223" 82.3760028571429 0.461428571428571 7
"224" 89.0755622222222 0.572222222222222 9
"225" 76.3910044444444 0.472962962962963 9
"226" 71.9880954545455 0.506060606060606 11
"227" 68.8251827272727 0.468030303030303 11
"228" 68.413704 0.436547619047619 10
"229" 68.2985588888889 0.478809523809524 9
"230" 69.3911666666667 0.530357142857143 6
"231" 74.0709109090909 0.494025974025974 11
"232" 74.7595728571429 0.516904761904762 7
"233" 72.7436722222222 0.493386243386243 9
"234" 75.0850033333333 0.47462962962963 9
"235" 80.664136 0.446 15
"236" 76.4401845454545 0.48 11
"237" 78.18256 0.491934523809524 9
"238" 87.798106 0.465666666666667 10
"239" 88.4701592307692 0.515961538461538 13
"240" 80.27967 0.532762345679012 9
"241" 85.6300044444445 0.563703703703704 9
"242" 97.0396192307692 0.516153846153846 13
"243" 75.5538933333333 0.585925925925926 9
"244" 69.3666666666667 0.538333333333333 3
"245" 61.5965 0.537777777777778 6
"246" 70.7675728571429 0.565714285714286 7
"247" 67.0530016666667 0.481190476190476 6
"248" 59.6701428571429 0.555510204081633 7
"249" 59.772 0.493571428571428 2
"250" 61.6905 0.607013888888889 2
"251" 58.1592857142857 0.413809523809524 7
"252" 58.5084 0.490761904761905 5
"253" 58.9633333333333 0.41 3
"255" 59.497125 0.515208333333333 8
"256" 59.0555 0.448333333333333 6
"257" 59.0414285714286 0.424384920634921 7
"258" 63.56212625 0.518809523809524 8
"259" 66.63773 0.55 11
"260" 75.7796716666667 0.516666666666667 6
"261" 82.0100945454545 0.438939393939394 11
"262" 76.2063383333333 0.483333333333333 6
"263" 70.9173607142857 0.522380952380952 14
"264" 69.3075 0.456666666666666 2
"265" 68.5773333333333 0.522380952380952 3
"266" 68.4451675 0.478650793650794 12
"267" 70.728 0.456666666666666 2
"268" 75.9849109090909 0.565692640692641 11
"269" 70.0733861538462 0.491483516483516 13
"270" 68.504803 0.491214285714286 10
"271" 75.8391144444444 0.533333333333333 9
"272" 74.3112745454546 0.455909090909091 11
"273" 70.243804 0.477 5
"274" 75.0684455555556 0.441481481481482 9
"275" 80.83950125 0.533571428571429 8
"276" 87.774505 0.514285714285714 8
"277" 91.3722266666667 0.483888888888889 9
"278" 81.8782233333333 0.476666666666667 9
"279" 83.5154554545455 0.50530303030303 11
"280" 91.34431625 0.5096875 16
"281" 87.170935 0.510357142857143 14
"282" 63.314505 0.518571428571428 2
"283" 65.97 0.49625 4
"284" 65.540835 0.513690476190476 6
"285" 72.899303 0.545214285714286 10
"286" 59.849 0.52 5
"287" 64.96 0.507013888888889 4
"288" 61.2632 0.416 5
"289" 58.247 0.404444444444444 3
"290" 60.059 0.355 1
"291" 59.812 0.38 2
"292" 61.6095714285714 0.469285714285714 7
"293" 60.80625 0.440173611111111 4
