"sp" "mother" "block" "treat" "mort" "diameter" "height" "leaves" "lBio" "sBio" "rBio" "rootTstem" "dden" "si" "raden" "slm" "p50" "fden" "Dden" "wet" "fleaf" "rgr" "leafTwood" "local" "surv" "name" "A" "Adate" "E" "rTs" "lTb"
"193" "pmal" "9L_Pmal_7" "B" 15 1 4.74 347 7 2123.92311234795 1498.49480766554 1373.9747860928 0.916903267908732 0.39 0.0313 0.15 4.96 -1.47571143778228 NA NA "wet" "high" NA 0.425091308325749 "sfr" 0 "B33" NA NA NA 1.10821933463314 0.307792273027868
"194" "slep" "8Q_Slep_4" "B" 18 0 4.76 423 8 1651.74687026864 1270.94879101225 975.422351907406 0.767475730576469 0.42 0.055 0.25 4.44 -1.63797719837667 0.470366418 0.050366418 "wet" "high" 0.118274167883468 0.423729313653505 "sfr" 1 "B34" 3.41 "20.08.2015" 1.26 1.03017923451197 0.246401415393927
"195" "sxan" "11H_Sxan_7" "B" 12 1 5.36 340 9 3280.79498369608 2960.89162178909 1825.90312216661 0.616673406324587 0.51 0.006 0.16 6.96 -2.23989199255121 NA NA "wet" "high" NA 0.40666358781869 "sfr" 0 "B35" NA NA NA 1.13561314857521 0.36920464173473
"196" "sbec" "SHOREABECCARINA_Sbec" "B" 9 0 5.05 230 5 1554.26494825265 1752.53398607574 1288.60510521083 0.735281093233612 0.41 0.037 0.1 5.37 -1.58199721886186 0.536654135 0.126654135 "wet" "high" 0.0942425378758935 0.338221608998824 "sfr" 1 "B36" -2.78 "21.08.2015" 0.5 0.723698094365868 0.326628969784602
"197" "dry" "DL_m_7" "B" 6 0 5.12 600 6 1765.30398187306 2461.06506915865 1354.19461819625 0.550247384828066 0.59 0.0372 0.12 5.43 -2.95831330249817 0.583048118 -0.00695188199999996 "wet" "high" 0.0648201001732887 0.316330766300043 "mal" 1 "B37" NA NA NA 0.736364768672071 0.361645549985552
"198" "sbec" "SHOREABECCARINA_Sbec" "B" 3 0 3.82 311 4 1009.99242164174 1668.95659587598 1094.38187886299 0.655728184643763 0.41 0.037 0.1 5.37 -1.58199721886186 0.719483315 0.309483315 "wet" "high" 0.0508902210806797 0.267666008992347 "sfr" 1 "B38" NA NA NA 0.723698094365868 0.326628969784602
"199" "sbec" "SHOREABECCARINA_Sbec" "B" 15 0 5.88 350 4 1549.53570018079 2512.39209540486 1699.54081347615 0.67646320675208 0.41 0.037 0.1 5.37 -1.58199721886186 0.434303607 0.024303607 "wet" "high" -0.046995853072804 0.268948041779423 "sfr" 1 "B39" -0.41 "21.08.2015" 0.37 0.723698094365868 0.326628969784602
"200" "dry" "DL_m_3" "B" 3 0 4.75 567 13 3324.82215262357 2964.73205990218 1549.99110780053 0.522809844695264 0.59 0.0372 0.12 5.43 -2.95831330249817 0.606891466 0.016891466 "wet" "high" 0.113224655607686 0.424109054386485 "mal" 1 "B40" 3.43 "21.08.2015" 1.12 0.736364768672071 0.361645549985552
"201" "ssmi" "Ssmi_m_2" "B" 21 1 4.27 290 4 2068.99550302152 1494.35971803772 1694.17727589333 1.13371449688031 0.31 0.0293 0.13 4.63 -1.11733744698828 NA NA "wet" "high" NA 0.393529760247944 "sfr" 0 "B41" -0.17 "21.08.2015" 0.4 0.881318758953821 0.249740528331436
"202" "slep" "8Q_Slep_4" "B" 18 0 5.11 432 8 1624.37543609192 1401.37645706497 1077.12524341515 0.768619479787088 0.42 0.055 0.25 4.44 -1.63797719837667 0.408508389 -0.011491611 "wet" "high" 0.148557293656445 0.395911303707497 "sfr" 1 "B42" 1.94 "29.07.2015" 1.66 1.03017923451197 0.246401415393927
"203" "sbec" "SHOREABECCARINA_Sbec" "B" 18 0 4.6 400 5 1848.22385201704 2545.13985542926 1480.79211535195 0.581811687948363 0.41 0.037 0.1 5.37 -1.58199721886186 0.588405001 0.178405001 "wet" "high" 0.0400232137017759 0.31463650399669 "sfr" 1 "B43" 1.14 "30.07.2015" 0.49 0.723698094365868 0.326628969784602
"204" "ptom" "Ptom_3_rdc" "B" 0 0 4.31 210 6 1501.30436377079 722.337110422106 832.922708180707 1.15309416637057 0.31 0.0262 0.13 4.92 -1.11733744698828 0.584775628 0.274775628 "dry" "high" 0.139288545232836 0.491173839053803 "sfr" 1 "B44" NA NA NA 1.25739196337714 0.290252763040932
"205" "ssmi" "Ssmi_5" "B" 9 0 5.76 280 6 2850.3333794909 2625.71551998111 2267.50631340907 0.863576536054212 0.31 0.0293 0.13 4.63 -1.11733744698828 0.492680421 0.182680421 "wet" "high" 0.0722054474643427 0.368091051349319 "sfr" 1 "B45" NA NA NA 0.881318758953821 0.249740528331436
"206" "pmal" "Pmal_Tawau" "B" 21 1 4.79 405 6 1783.36879610248 1688.94202939481 1448.29713726034 0.857517375998572 0.39 0.0313 0.15 4.96 -1.47571143778228 NA NA "wet" "high" NA 0.362428547366541 "taw" 0 "B46" NA NA NA 1.10821933463314 0.307792273027868
"207" "spar" "9P_Spar_2" "B" 12 1 2.85 287 8 4111.82064550725 1552.71435727017 2308.15650952777 1.48653002319483 0.36 0.0423 0.2 4.81 -1.32952049012629 NA NA "wet" "high" NA 0.515738084078758 "sfr" 0 "B47" 0.8 "30.07.2015" 0.85 1.18152048315931 0.298487653517437
"208" "spar" "SP_m_7" "B" 9 0 3.31 258 6 1883.07238297974 1133.17019506948 1650.32665177337 1.45638021451154 0.36 0.0423 0.2 4.81 -1.32952049012629 0.460113306 0.100113306 "wet" "high" 0.108492182366546 0.403523935945407 "mal" 1 "B48" -0.43 "21.08.2015" 0.25 1.18152048315931 0.298487653517437
"209" "pmal" "12H_Pmal_1" "B" 12 0 3.92 142 4 570.945020387667 535.577732152527 741.457838194925 1.38440751674822 0.39 0.0313 0.15 4.96 -1.47571143778228 0.517296605 0.127296605 "wet" "high" 0.026875856402981 0.308956178030283 "sfr" 1 "B49" NA NA NA 1.10821933463314 0.307792273027868
"210" "sjoh" "8m_SJoh_6" "B" 12 1 2.61 300 2 225.615287063608 464.541644305495 506.864331413738 1.09110633594867 0.4 0.0449 0.19 4.73 -1.52793042721657 NA NA "wet" "high" NA 0.188480601037192 "sfr" 0 "B50" NA NA NA 1.44202945767578 0.242364619261867
"211" "spar" "Sp_m_3" "B" 18 0 5.39 472 11 1199.11541589246 1439.62962833853 971.792794835505 0.675029726886801 0.36 0.0423 0.2 4.81 -1.32952049012629 0.436022379 0.076022379 "wet" "high" 0.0190142750966931 0.332115454633344 "mal" 1 "B51" NA NA NA 1.18152048315931 0.298487653517437
"212" "ssem" "SS" "B" 18 1 3.89 243 7 1135.94430387923 736.601036472125 841.425717593989 1.14230862560812 0.72 0.014 0.12 5.16 -4.64913263523571 NA NA "wet" "high" NA 0.418554317502271 "sfr" 0 "B52" -0.8 "31.07.2015" 0.2 1.02239348582335 0.257097042694379
"213" "dry" "DL_m_6" "B" 9 0 3.14 344 7 703.185903919992 721.874711560042 630.202246309309 0.873007789602963 0.59 0.0372 0.12 5.43 -2.95831330249817 0.575179261 -0.0148207389999999 "wet" "high" 0.202565964326729 0.342139157473895 "mal" 1 "B53" NA NA NA 0.736364768672071 0.361645549985552
"214" "dry" "DL_Tawau" "B" 3 0 4.53 405 12 2352.46944664121 1721.66105040829 1144.73569824206 0.664901896903916 0.59 0.0372 0.12 5.43 -2.95831330249817 0.384086982 -0.205913018 "wet" "high" 0.047196898190619 0.450762552365033 "taw" 1 "B54" NA NA NA 0.736364768672071 0.361645549985552
"215" "slep" "SL_m_1" "B" 9 0 2.85 306 6 761.460053743066 476.302366772839 481.225907577934 1.01033700680191 0.42 0.055 0.25 4.44 -1.63797719837667 0.550114902 0.130114902 "wet" "high" 0.132449652925656 0.44296988018961 "mal" 1 "B55" NA NA NA 1.03017923451197 0.246401415393927
"216" "ssmi" "Ssmi_4" "B" 0 0 5.03 374 7 4551.52754268209 2717.82869394468 2382.97328287348 0.876793040040656 0.31 0.0293 0.13 4.63 -1.11733744698828 0.36095558 0.05095558 "dry" "high" 0.106992390543006 0.471547053329127 "sfr" 1 "B56" -0.07 "07.08.2015" 0.19 0.881318758953821 0.249740528331436
"217" "sjoh" "8L_SJoh_50" "B" 9 1 4.39 311 7 1781.40169254992 1049.08924695622 996.785186341334 0.950143364097346 0.4 0.0449 0.19 4.73 -1.52793042721657 NA NA "wet" "high" NA 0.465448960036941 "sfr" 0 "B57" NA NA NA 1.44202945767578 0.242364619261867
"218" "ptom" "9J_Ptom_14" "B" 18 1 2.91 130 4 457.494578655863 223.540543028454 311.237943602496 1.3923109400467 0.31 0.0262 0.13 4.92 -1.11733744698828 NA NA "wet" "high" NA 0.46105713705292 "sfr" 0 "B58" NA NA NA 1.25739196337714 0.290252763040932
"219" "ssmi" "Ssmi_3A" "B" 18 1 3.25 235 6 3895.82072456934 955.432463910292 1453.51408132666 1.52131535846906 0.31 0.0293 0.13 4.63 -1.11733744698828 NA NA "wet" "high" NA 0.617916658593654 "sfr" 0 "B59" -0.58 "21.08.2015" 0.33 0.881318758953821 0.249740528331436
"220" "sjoh" "8K_SJoh_8" "B" 0 0 3.71 290 3 456.48900320821 659.891700439747 695.600069440849 1.05411246872374 0.4 0.0449 0.19 4.73 -1.52793042721657 0.385379702 -0.014620298 "dry" "high" 0.1000607996718 0.251928171638407 "sfr" 1 "B60" NA NA NA 1.44202945767578 0.242364619261867
"221" "ssmi" "9H_Ssmi_4" "B" 9 0 5.14 423 9 7476.03508043646 3457.47614943073 2788.91610366368 0.806633504651326 0.31 0.0293 0.13 4.63 -1.11733744698828 0.37701312 0.06701312 "wet" "high" 0.074876152461068 0.544804129672358 "sfr" 1 "B61" 2.62 "30.07.2015" 1.41 0.881318758953821 0.249740528331436
"222" "sxan" "11H_Sxan_1" "B" 3 0 5.42 373 9 3393.40144573107 3280.18622052435 1948.66181823041 0.594070484790619 0.51 0.006 0.16 6.96 -2.23989199255121 NA NA "wet" "high" 0.0951809722837997 0.393563356272267 "sfr" 1 "B62" NA NA NA 1.13561314857521 0.36920464173473
"223" "slep" "8P_Slep_4" "B" 15 0 4.23 290 8 1442.61802868771 755.278075727305 717.254526235602 0.949656225020053 0.42 0.055 0.25 4.44 -1.63797719837667 0.467548949 0.047548949 "wet" "high" 0.184168159145616 0.494869120490607 "sfr" 1 "B63" NA NA NA 1.03017923451197 0.246401415393927
"224" "ptom" "Pt_m_5" "B" 3 0 4.43 398 5 1448.69485146659 1269.67533500739 1100.487034478 0.86674680064695 0.31 0.0262 0.13 4.92 -1.11733744698828 0.596333175 0.286333175 "wet" "high" 0.153834365583973 0.379352975942225 "mal" 1 "B64" -0.23 "07.08.2015" 0.23 1.25739196337714 0.290252763040932
"225" "dry" "DL_m_2" "B" 6 0 5.34 582 12 3098.02202184654 3236.86776888047 1748.61011752152 0.540216728756365 0.59 0.0372 0.12 5.43 -2.95831330249817 0.600011956 0.010011956 "wet" "high" 0.0850473548623321 0.383252558546487 "mal" 1 "B65" NA NA NA 0.736364768672071 0.361645549985552
"226" "ssmi" "Ssmi_19" "B" 12 0 5.59 491 4 2602.51084258559 3493.13700010409 2703.83455647608 0.774041944646176 0.31 0.0293 0.13 4.63 -1.11733744698828 0.460558043 0.150558043 "wet" "high" 0.000638343557625154 0.295757264408225 "sfr" 1 "B66" -0.36 "21.08.2015" 0.23 0.881318758953821 0.249740528331436
"227" "pmal" "Pm_m_4" "B" 21 0 4.51 223 6 1324.06413916445 945.128874170549 1052.40069222524 1.11349967288729 0.39 0.0313 0.15 4.96 -1.47571143778228 0.555967289 0.165967289 "wet" "high" 0.0614597215723933 0.398623147962982 "mal" 1 "B67" NA NA NA 1.10821933463314 0.307792273027868
"228" "sjoh" "ou_SJoh" "B" 6 0 4.66 351 9 3259.79748905178 1394.24525455932 1217.68834615168 0.873367395133474 0.4 0.0449 0.19 4.73 -1.52793042721657 0.525109378 0.125109378 "wet" "high" 0.0735414630570077 0.555168048266917 "sfr" 1 "B68" NA NA NA 1.44202945767578 0.242364619261867
"229" "slep" "SL_m_72" "B" 15 0 4.36 360 13 6972.6120413305 1223.64359996016 982.144625356786 0.802639449418739 0.42 0.055 0.25 4.44 -1.63797719837667 0.422532588 0.002532588 "wet" "high" 0.178441142670283 0.759676178720124 "mal" 1 "B69" NA NA NA 1.03017923451197 0.246401415393927
"230" "ssem" "SS" "B" 0 0 3.42 210 9 1814.1815709995 603.673680955704 783.417327142492 1.29774968142097 0.72 0.014 0.12 5.16 -4.64913263523571 0.534338358 -0.185661642 "dry" "high" 0.220589368044479 0.5667063725985 "sfr" 1 "B70" 3.85 "21.08.2015" 1.41 1.02239348582335 0.257097042694379
"231" "spar" "9Q_Spar_10" "B" 21 1 5.14 310 13 1476.56545660343 1180.20860552567 955.207967448249 0.809355196171269 0.36 0.0423 0.2 4.81 -1.32952049012629 NA NA "wet" "high" NA 0.408796457045554 "sfr" 0 "B71" NA NA NA 1.18152048315931 0.298487653517437
"232" "ssmi" "Ssmi_Tawau" "B" 6 1 4.16 319 6 3810.36691148144 1732.3084236469 1867.07499693885 1.07779594641019 0.31 0.0293 0.13 4.63 -1.11733744698828 NA NA "wet" "high" NA 0.514236882583116 "taw" 0 "B72" -0.04 "07.08.2015" 0.31 0.881318758953821 0.249740528331436
"233" "spar" "Spar_1" "B" 6 0 3.22 300 4 1357.5800106203 1233.53888473058 1688.35856731626 1.36871126497566 0.36 0.0423 0.2 4.81 -1.32952049012629 0.818896292 0.458896292 "wet" "high" 0.128013294629792 0.31723032133325 "sfr" 1 "B73" -0.4 "20.08.2015" 1.51 1.18152048315931 0.298487653517437
"234" "pmal" "Pmal_m_1" "B" 12 0 3.97 350 5 1043.20781856791 1123.20728799755 1027.37593391922 0.914680615855709 0.39 0.0313 0.15 4.96 -1.47571143778228 0.656600994 0.266600994 "wet" "high" -0.00616896337090714 0.326636215501937 "sfr" 1 "B74" 3.68 "21.08.2015" 1.44 1.10821933463314 0.307792273027868
"235" "slep" "Slep_1" "B" 6 0 4.49 344 6 848.908701915173 870.355436455599 761.715151447261 0.875177105286134 0.42 0.055 0.25 4.44 -1.63797719837667 0.364071401 -0.055928599 "wet" "high" 0.112353557998333 0.342166782850266 "sfr" 1 "B75" NA NA NA 1.03017923451197 0.246401415393927
"236" "ptom" "Ptom_3_rdc" "B" 6 0 4.84 283 4 1033.25124253609 1060.24715112563 1152.03543739049 1.08657253751393 0.31 0.0262 0.13 4.92 -1.11733744698828 0.565622055 0.255622055 "wet" "high" 0.00591437907008591 0.318360952719173 "sfr" 1 "B76" -0.1 "07.08.2015" 0.46 1.25739196337714 0.290252763040932
"237" "sjoh" "SJ_m_5" "B" 6 0 3.13 300 7 1614.11144925237 689.501082055321 703.334017359871 1.02006223871805 0.4 0.0449 0.19 4.73 -1.52793042721657 0.471695663 0.071695663 "wet" "high" 0.14521504120146 0.536794194086228 "mal" 1 "B77" -1.18 "07.08.2015" 0.58 1.44202945767578 0.242364619261867
"238" "sjoh" "8K_SJoh_8" "B" 9 0 3.3 301 7 1634.66565198523 729.209357929949 736.744703941497 1.01033358380498 0.4 0.0449 0.19 4.73 -1.52793042721657 0.452784176 0.052784176 "wet" "high" 0.139124625683158 0.52720610808217 "sfr" 1 "B78" NA NA NA 1.44202945767578 0.242364619261867
"239" "sjoh" "8m_SJoh_7" "B" 18 1 4.1 320 8 2385.34780093094 1036.99309411059 970.102026415087 0.935495165709976 0.4 0.0449 0.19 4.73 -1.52793042721657 NA NA "wet" "high" NA 0.543057210664883 "sfr" 0 "B79" -0.12 "20.08.2015" 2.39 1.44202945767578 0.242364619261867
"240" "sjoh" "S.Joh_m_7" "B" 15 1 3.57 271 7 1598.42143961426 712.717812018862 760.775526717875 1.06742881107866 0.4 0.0449 0.19 4.73 -1.52793042721657 0.558414171 0.158414171 "wet" "high" 0.00541543398368348 0.52033391384389 "sfr" 0 "B80" 3.48 "21.08.2015" 1.47 1.44202945767578 0.242364619261867
"241" "ssem" "SS" "B" 9 0 4.04 302 7 1267.0981370696 939.390512288578 940.071436768616 1.00072485773609 0.72 0.014 0.12 5.16 -4.64913263523571 0.596595165 -0.123404835 "wet" "high" 0.201084342771692 0.402693132305417 "sfr" 1 "B81" NA NA NA 1.02239348582335 0.257097042694379
"242" "ptom" "Pt_m_4" "B" 3 1 4.16 390 6 1856.93169867435 1163.18276558213 968.754766625271 0.832848280846428 0.31 0.0262 0.13 4.92 -1.11733744698828 NA NA "wet" "high" NA 0.46552834680516 "mal" 0 "B82" NA NA NA 1.25739196337714 0.290252763040932
"243" "sjoh" "8m_SJoh_9" "B" 15 1 4.11 286 4 690.408593633053 774.657586137368 799.140437878664 1.03160474018382 0.4 0.0449 0.19 4.73 -1.52793042721657 NA NA "wet" "high" NA 0.304922964296386 "sfr" 0 "B83" NA NA NA 1.44202945767578 0.242364619261867
"244" "ssem" "SS" "B" 9 0 3.42 174 9 1728.36748862842 529.693325791642 747.131665128581 1.41049854462858 0.72 0.014 0.12 5.16 -4.64913263523571 0.564483581 -0.155516419 "wet" "high" 0.184219471139514 0.575127051059308 "sfr" 1 "B84" 0.46 "29.07.2015" 0.53 1.02239348582335 0.257097042694379
"245" "sbec" "SHOREABECCARINA_Sbec" "B" 12 1 3.21 191 3 503.229571842641 915.408401128979 801.756472435457 0.875845656918426 0.41 0.037 0.1 5.37 -1.58199721886186 NA NA "wet" "high" NA 0.226639718399395 "sfr" 0 "B85" 1.25 "20.08.2015" 0.93 0.723698094365868 0.326628969784602
"246" "ssmi" "Ssmi_Tawau" "B" 18 0 5.02 304 6 3286.16285644051 2174.08956757743 2088.96351215314 0.960845193917588 0.31 0.0293 0.13 4.63 -1.11733744698828 0.524566312 0.214566312 "wet" "high" 0.0192185031973105 0.435298564013157 "taw" 1 "B86" -0.25 "07.08.2015" 0.24 0.881318758953821 0.249740528331436
"247" "dry" "DL_m_1" "B" 18 0 7.17 611 10 3676.96581708985 4060.78570483407 2589.59501757113 0.637707873746799 0.59 0.0372 0.12 5.43 -2.95831330249817 0.520105407 -0.069894593 "wet" "high" -0.000448428732077732 0.35604168050602 "mal" 1 "B87" -0.28 "21.08.2015" 0.27 0.736364768672071 0.361645549985552
"248" "slep" "SL_maliau" "B" 12 1 4.3 411 9 2283.00144472625 1162.94850006141 889.113806857941 0.764534118932172 0.42 0.055 0.25 4.44 -1.63797719837667 NA NA "wet" "high" NA 0.526636187036377 "mal" 0 "B88" -0.46 "29.07.2015" 0.51 1.03017923451197 0.246401415393927
"249" "pmal" "12H_Pmal_1" "B" 3 0 4.05 321 7 1875.03125960823 1149.19122346003 1091.33333422606 0.949653384003605 0.39 0.0313 0.15 4.96 -1.47571143778228 0.574577222 0.184577222 "wet" "high" 0.193647609120526 0.455596119418185 "sfr" 1 "B89" NA NA NA 1.10821933463314 0.307792273027868
"250" "sjoh" "SJ_m_4" "B" 3 0 3.46 411 4 697.695761195653 988.644885408634 792.975596450697 0.802083344742069 0.4 0.0449 0.19 4.73 -1.52793042721657 0.470753007 0.070753007 "wet" "high" 0.102337943983373 0.281406522120777 "mal" 1 "B90" 0.8 "03.08.2015" 0.47 1.44202945767578 0.242364619261867
"251" "sbec" "Sbec_Sfr" "B" 18 1 4.73 352 7 3438.4063403046 2489.46959884976 1536.8644078305 0.617346124066185 0.41 0.037 0.1 5.37 -1.58199721886186 NA NA "wet" "high" NA 0.460619684071588 "sfr" 0 "B91" 0.25 "07.08.2015" 0.31 0.723698094365868 0.326628969784602
"252" "ssem" "Ssem_ou" "B" 18 1 2.97 192 4 328.665033945457 372.526759705463 573.001386376227 1.53814825766951 0.72 0.014 0.12 5.16 -4.64913263523571 0.657872813 -0.062127187 "wet" "high" 0.0327591965030363 0.257939721462373 "mal" 0 "B92" NA NA NA 1.02239348582335 0.257097042694379
"253" "sxan" "9K_Sxan_29" "B" 9 1 2.97 115 5 986.826589709901 303.706584619303 493.468273758545 1.62481914699712 0.51 0.006 0.16 6.96 -2.23989199255121 NA NA "wet" "high" NA 0.553153468999518 "sfr" 0 "B93" 1.1 "21.08.2015" 0.21 1.13561314857521 0.36920464173473
"254" "dry" "DL_m_6" "B" 0 0 3.16 243 8 763.31238614326 517.906692981931 575.721996054781 1.11163266251681 0.59 0.0372 0.12 5.43 -2.95831330249817 0.442072245 -0.147927755 "dry" "high" 0.165050193890324 0.411059024083078 "mal" 1 "B94" NA NA NA 0.736364768672071 0.361645549985552
"255" "sxan" "Sxan_3_RDC" "B" 0 0 2.81 381 10 7668.54924294187 1020.17527974784 799.462835392035 0.783652428423516 0.51 0.006 0.16 6.96 -2.23989199255121 0.62517245 0.11517245 "dry" "high" 0.191705293550804 0.808220680466437 "sfr" 1 "B95" 1.29 "20.08.2015" 1.53 1.13561314857521 0.36920464173473
"256" "pmal" "8L_Pmal_9" "B" 6 0 4.2 255 8 2347.26461232223 1026.34238606433 1084.38060495968 1.05654859400079 0.39 0.0313 0.15 4.96 -1.47571143778228 0.566731312 0.176731312 "wet" "high" 0.123081078808859 0.526530089621679 "sfr" 1 "B96" NA NA NA 1.10821933463314 0.307792273027868
"257" "ssmi" "Ssmi_19" "B" 6 0 4.92 420 7 4953.96744278508 2967.54318556713 2489.43481271805 0.838887475951691 0.31 0.0293 0.13 4.63 -1.11733744698828 0.416992535 0.106992535 "wet" "high" 0.0699213743168521 0.475842224976237 "sfr" 1 "B97" -0.39 "21.08.2015" 0.37 0.881318758953821 0.249740528331436
"258" "pmal" "8_m_Pmal_8" "B" 18 1 4.17 290 7 1826.65861850587 1080.3239012775 1084.00185632729 1.00340449289833 0.39 0.0313 0.15 4.96 -1.47571143778228 NA NA "wet" "high" NA 0.457696258958048 "sfr" 0 "B98" NA NA NA 1.10821933463314 0.307792273027868
"259" "ptom" "Ptom_2_RDC" "B" 21 1 3.6 170 7 1773.87102825237 447.871672098893 546.140581531456 1.21941309431793 0.31 0.0262 0.13 4.92 -1.11733744698828 NA NA "wet" "high" NA 0.640876383720118 "sfr" 0 "B99" NA NA NA 1.25739196337714 0.290252763040932
"260" "sbec" "SHOREABECCARINA_Sbec" "B" 6 0 4.84 341 4 1266.50293977353 2132.04650422795 1380.18644956902 0.647352882234062 0.41 0.037 0.1 5.37 -1.58199721886186 0.481152607 0.071152607 "wet" "high" 0.0906973643756823 0.265028862858383 "sfr" 1 "B100" -1.31 "21.08.2015" 0.45 0.723698094365868 0.326628969784602
"261" "slep" "SL_m_114" "B" 21 1 3.64 400 7 1249.10293690518 877.920084442392 688.97289347775 0.784778598516001 0.42 0.055 0.25 4.44 -1.63797719837667 NA NA "wet" "high" NA 0.443574129610434 "mal" 0 "B101" -0.57 "29.07.2015" 0.2 1.03017923451197 0.246401415393927
"262" "ssem" "SS" "B" 21 1 2.62 203 7 836.022008178082 389.859185849927 602.964828545676 1.54662208928375 0.72 0.014 0.12 5.16 -4.64913263523571 NA NA "wet" "high" NA 0.457130889019061 "sfr" 0 "B102" NA NA NA 1.02239348582335 0.257097042694379
"263" "slep" "8Pslep_2" "B" 21 0 4.08 352 6 845.838725146398 797.784671330352 694.934150990901 0.871079848942269 0.42 0.055 0.25 4.44 -1.63797719837667 0.45701586 0.03701586 "wet" "high" 0.123584622813715 0.361692499747261 "sfr" 1 "B103" NA NA NA 1.03017923451197 0.246401415393927
"264" "ssem" "Ssem_ou" "B" 6 0 3.97 230 6 865.132511142441 693.991446425478 810.549664786175 1.16795339331781 0.72 0.014 0.12 5.16 -4.64913263523571 0.592221135 -0.127778865 "wet" "high" 0.128697673601113 0.365085091457868 "mal" 1 "B104" NA NA NA 1.02239348582335 0.257097042694379
"265" "dry" "DL_Tawau" "B" 15 0 3.97 442 8 1252.44945167318 1368.47037182822 905.288587541702 0.661533202456019 0.59 0.0372 0.12 5.43 -2.95831330249817 0.469372044 -0.120627956 "wet" "high" 0.10757470128039 0.35518304810086 "taw" 1 "B105" -0.31 "21.08.2015" 0.32 0.736364768672071 0.361645549985552
"266" "dry" "Dl_m_4" "B" 18 0 5.14 515 13 3084.40242085239 2798.79203686385 1586.38807044415 0.566811699315022 0.59 0.0372 0.12 5.43 -2.95831330249817 0.561047135 -0.0289528649999999 "wet" "high" 0.117342917481347 0.412928354325582 "mal" 1 "B106" -0.41 "21.08.2015" 0.41 0.736364768672071 0.361645549985552
"267" "spar" "SP_m_5" "B" 15 1 3.28 321 9 3963.60956478848 1661.85861541699 2038.47273815023 1.22662224044778 0.36 0.0423 0.2 4.81 -1.32952049012629 NA NA "wet" "high" NA 0.517176424898494 "mal" 0 "B107" NA NA NA 1.18152048315931 0.298487653517437
"268" "sxan" "8L_Sxan_10" "B" 0 0 3.36 161 2 426.101403922859 404.627671970958 538.417753906811 1.3306498571493 0.51 0.006 0.16 6.96 -2.23989199255121 0.447668543 -0.062331457 "dry" "high" 0.138411790569537 0.311216733405362 "sfr" 1 "B108" 4.1 "31.07.2015" 1.39 1.13561314857521 0.36920464173473
"269" "sjoh" "8m_SJoh_7" "B" 12 0 4.09 341 8 2453.54452075573 1104.64397580321 994.671797384176 0.900445590771388 0.4 0.0449 0.19 4.73 -1.52793042721657 0.643347499 0.243347499 "wet" "high" 0.0644729939886479 0.538901780935338 "sfr" 1 "B109" NA NA NA 1.44202945767578 0.242364619261867
"270" "sxan" "11H_Sxan_1" "B" 6 0 2.97 189 4 783.054936206215 388.299289584587 523.747430003367 1.34882407475864 0.51 0.006 0.16 6.96 -2.23989199255121 0.723339658 0.213339658 "wet" "high" 0.0245019606439714 0.461951608347257 "sfr" 1 "B110" -0.11 "31.07.2015" 0.98 1.13561314857521 0.36920464173473
"271" "sxan" "9K_Sxan_2" "B" 18 1 2.98 219 5 1135.75400277262 460.972474420485 567.965625742066 1.2321031238494 0.51 0.006 0.16 6.96 -2.23989199255121 NA NA "wet" "high" NA 0.524672308469466 "sfr" 0 "B111" 0.56 "21.08.2015" 0.39 1.13561314857521 0.36920464173473
"272" "sxan" "8m_Sxan_3" "B" 15 1 3.94 278 4 987.620875929724 938.072737097504 834.964196986327 0.890084706618587 0.51 0.006 0.16 6.96 -2.23989199255121 NA NA "wet" "high" NA 0.35774838603589 "sfr" 0 "B112" -0.23 "30.07.2015" 0.83 1.13561314857521 0.36920464173473
"273" "slep" "12I_Slep_3" "B" 12 0 5.23 535 11 3879.90615381791 2103.30142775736 1424.35176913389 0.677198118318496 0.42 0.055 0.25 4.44 -1.63797719837667 0.335826908 -0.084173092 "wet" "high" 0.195226579997439 0.523776586878979 "sfr" 1 "B113" 1.37 "31.07.2015" 0.79 1.03017923451197 0.246401415393927
"274" "sbec" "Sbec_Sfr" "B" 15 1 3.93 280 5 1447.61116725761 1609.59087160651 1114.09780301992 0.692162103223134 0.41 0.037 0.1 5.37 -1.58199721886186 NA NA "wet" "high" NA 0.347040783959508 "sfr" 0 "B114" NA NA NA 0.723698094365868 0.326628969784602
"275" "slep" "SL_m_6" "B" 0 0 3.96 515 5 760.233596180101 1250.37823056787 804.862330935937 0.643695092620416 0.42 0.055 0.25 4.44 -1.63797719837667 0.355401872 -0.064598128 "dry" "high" 0.144497917359603 0.270019738630985 "mal" 1 "B115" NA NA NA 1.03017923451197 0.246401415393927
"276" "sjoh" "S.Joh_m_7" "B" 21 0 2.74 232 4 460.402102298698 401.330254786665 517.500534680889 1.28946305071362 0.4 0.0449 0.19 4.73 -1.52793042721657 0.600430108 0.200430108 "wet" "high" 1.42210558924859e-05 0.333810268771291 "sfr" 1 "B116" NA NA NA 1.44202945767578 0.242364619261867
"277" "ptom" "8L_Ptom_6" "B" 6 0 4.04 195 4 713.141636396014 541.495311383247 648.347735805164 1.19732843881688 0.31 0.0262 0.13 4.92 -1.11733744698828 0.476689977 0.166689977 "wet" "high" 0.0506218014969658 0.374749015348224 "sfr" 1 "B117" -0.24 "21.08.2015" 0.91 1.25739196337714 0.290252763040932
