"sp" "mother" "block" "treat" "mort" "diameter" "height" "leaves" "lBio" "sBio" "rBio" "rootTstem" "dden" "si" "raden" "slm" "p50" "fden" "Dden" "wet" "fleaf" "rgr" "leafTwood" "local" "surv" "name" "A" "Adate" "E" "rTs" "lTb"
"19" "sbec" "Sbec_Sfr" "A" 21 1 5.01 355 6 2515.65969746242 2484.31139966736 1566.1335965364 0.630409535916512 0.41 0.037 0.1 5.37 -1.58199721886186 NA NA "wet" "high" NA 0.383128173373337 "sfr" 0 "A19" -0.77 "07.08.2015" 0.15 0.723698094365868 0.326628969784602
"20" "slep" "9P_Slep_2" "A" 3 0 4.11 311 5 585.87684804558 674.763526081835 638.651772763486 0.946482357266641 0.42 0.055 0.25 4.44 -1.63797719837667 0.418854578 -0.00114542200000001 "wet" "high" 0.071423928090765 0.308471158059937 "sfr" 1 "A20" 2.32 "07.08.2015" 1.01 1.03017923451197 0.246401415393927
"21" "ssem" "SS" "A" 15 1 3.82 392 9 2394.62773356752 1297.81227153435 1087.65744007798 0.83806993040071 0.72 0.014 0.12 5.16 -4.64913263523571 0.651642797 -0.0683572029999999 "wet" "high" 0.0462969823864869 0.50095793255893 "sfr" 0 "A21" NA NA NA 1.02239348582335 0.257097042694379
"22" "dry" "DL_m_2" "A" 3 0 5.65 693 11 3419.1019032198 4064.09920336603 2095.96284646438 0.515726300364034 0.59 0.0372 0.12 5.43 -2.95831330249817 0.619600044 0.029600044 "wet" "high" 0.110794935148335 0.356931139291241 "mal" 1 "A22" NA NA NA 0.736364768672071 0.361645549985552
"23" "sxan" "8m_Sxan_3" "A" 3 1 2.56 171 5 1039.48824240283 293.524714762502 458.360647743492 1.56157428894655 0.51 0.006 0.16 6.96 -2.23989199255121 0.554177546 0.044177546 "wet" "high" 0.0318766748413645 0.580274399239983 "sfr" 0 "A23" 1.8 "12.08.2015" 0.83 1.13561314857521 0.36920464173473
"24" "sbec" "SHOREABECCARINA_Sbec" "A" 0 0 5.14 312 6 2394.28389470139 2280.1097541405 1516.64381003923 0.665162634072822 0.41 0.037 0.1 5.37 -1.58199721886186 0.375330064 -0.034669936 "dry" "high" 0.117260844193187 0.386733873054953 "sfr" 1 "A24" NA NA NA 0.723698094365868 0.326628969784602
"25" "slep" "8P_Slep_4" "A" 18 0 3.31 372 4 411.614732428357 636.226845041951 545.763867088205 0.857813327653942 0.42 0.055 0.25 4.44 -1.63797719837667 0.528866175 0.108866175 "wet" "high" 0.212413321695227 0.25829149482003 "sfr" 1 "A25" 0.72 "12.08.2015" 0.69 1.03017923451197 0.246401415393927
"26" "slep" "SL_m_1" "A" 9 0 3.27 350 6 819.91877469259 637.236624928032 566.28012260167 0.888649679647061 0.42 0.055 0.25 4.44 -1.63797719837667 0.492985247 0.072985247 "wet" "high" 0.273584637572525 0.405211219081541 "mal" 1 "A26" 3.72 "20.08.2015" 1.53 1.03017923451197 0.246401415393927
"27" "sjoh" "8K_SJoh_8" "A" 3 0 2.79 365 4 557.385641242545 703.418458615455 624.829435003692 0.888275573878953 0.4 0.0449 0.19 4.73 -1.52793042721657 0.627837515 0.227837515 "wet" "high" 0.0924994535107002 0.295595952732898 "sfr" 1 "A27" 2.44 "12.08.2015" 0.69 1.44202945767578 0.242364619261867
"28" "spar" "Spar_1" "A" 9 0 4.95 442 9 1336.63242546302 1435.55963263176 1070.13660795565 0.745449080365827 0.36 0.0423 0.2 4.81 -1.32952049012629 0.48422524 0.12422524 "wet" "high" 0.107195208140209 0.347870404026878 "sfr" 1 "A28" NA NA NA 1.18152048315931 0.298487653517437
