"sp" "mother" "block" "treat" "mort" "diameter" "height" "leaves" "lBio" "wBio" "dden" "den" "si" "slm" "rgr" "leafArea" "A" "carbon.per.sec" "woody.carbon" "carbon.fraction" "Dden" "leafTwood" "carbon.per.sec2" "carbon.fraction2" "leafTtotal" "rootTstem" "CF" "Dcf"
"158" "slep" "SL_maliau" "A" 15 0 4.24 367 6 867.950990799427 871.625959232393 0.42 0.4 0.055 4.44 -0.00894580552940069 195.484457387258 0.886738660323402 17.3343625857625 435.812979616196 0.00996470008725132 0.075380914 0.995783778128634 17.3343625857625 0.00699742959446254 0.350369153726563 0.846315098263231 0.0138467526479274 -0.00684932305346486
"159" "pmal" "Pm_m_4" "A" 3 0 3.8 215 4 607.177480316055 651.295822447421 0.39 0.49 0.0313 4.96 0.212207863673335 122.41481457985 0.926902894097362 11.3466645914455 325.64791122371 0.00901621398445988 0.264533392 0.932260670787693 11.3466645914455 0.00554195816915258 0.296558708512452 1.21133499519002 0.00610245022553465 -0.000560492056382074
"160" "spar" "Sp_m_1" "A" 6 0 5.06 412 9 1182.28088650206 1282.29917403236 0.36 0.39 0.0423 4.81 0.0702143697111406 245.79644210022 0.652893397209544 16.0478874104831 641.149587016181 0.0065114084413242 0.071110062 0.922000817316458 16.0478874104832 0.00466480879974502 0.343666062831575 0.760838476502084 0.00640743154576376 -0.00174262274601874
"161" "ssmi" "Ssmi_19" "B" 12 0 6.9 457 8 3906.43681988183 5160.01204385739 0.31 0.37 0.0293 4.63 0.0312588863631394 843.722855266054 0.535987341165403 45.2224769874534 2580.0060219287 0.00498789301821558 0.081061321 0.757059632163484 45.2224769874534 0.00354800276326853 0.306485835247813 0.713069636784148 0.0082218511221437 -0.00467384835887517
"163" "pmal" "Pm_m_6" "B" 6 0 4.48 350 4 896.66625584243 1225.29411968409 0.39 0.49 0.0313 4.96 0.0705913064586455 180.779487065006 0.596073090056242 10.7757787473621 612.647059842043 0.00507821864707926 0.035975525 0.731796751031185 10.7757787473621 0.00330004894862578 0.274601270519349 0.933146312222481 0.00610245022553465 -0.00280240127690887
"164" "sbec" "Sbec_Sfr" "B" 3 0 4.37 348 6 2390.7781864348 2236.92147868692 0.41 0.42 0.037 5.37 0.135996005021607 445.210090583761 0.805071570549882 35.8425986850924 1118.46073934346 0.0077452300881219 0.112864949 1.06878055810801 35.8425986850924 0.00597088148206254 0.398270597690782 0.614773197315865 0.00323018376090687 0.00274069772115567
"165" "spar" "Sp_m_1" "B" 3 0 4.92 395 10 1443.57604074215 1349.04201382105 0.36 0.39 0.0423 4.81 0.1044894489746 300.119758990052 0.948812392666865 28.4757346613954 674.521006910524 0.0101967881411013 0.00598238899999998 1.07007493165713 28.4757346613954 0.00739132095226964 0.37470267099367 0.785722516542013 0.00640743154576376 0.000983889406505876
"166" "ptom" "Pt_m_1" "B" 9 0 3.68 325 5 1083.16218626296 727.808969742068 0.31 0.52 0.0262 4.92 0.0812435546117171 220.154915907106 0.402576639853335 8.86292262930764 363.904484871034 0.00489401645074187 -0.055508083 1.48825066919253 8.86292262930762 0.00360127752497391 0.440122045564459 0.893199281317997 0.0062039963071807 -0.00260271878220679
"167" "pmal" "9L_Pmal_7" "B" 0 0 3.57 255 5 831.501940266971 723.510474886579 0.39 0.49 0.0313 4.96 0.140110892555684 167.641520215115 1.65792633596595 27.7937291366007 361.755237443289 0.0178736380917295 -0.169668946 1.14926040344796 27.7937291366008 0.0117563665240971 0.351713925368993 1.11833954228133 0.00610245022553465 0.00565391629856245
"168" "ssmi" "Ssmi_4" "B" 3 0 4.23 271 6 3534.99711914031 1529.0699330704 0.31 0.37 0.0293 4.63 0.173845584758781 763.498297870478 1.27081465005121 97.0264822222964 764.534966535202 0.0191597941381798 0.104310239 2.31186098339006 97.0264822222965 0.0141941260579062 0.517139172462777 1.1586202845059 0.0082218511221437 0.0059722749357625
