"index" "site" "blockN" "blockL" "plot" "sp" "sdlrep" "wl" "origin" "mother" "name" "poss" "x" "y" "ztopo" "per.water.feb" "per.water.mar" "per.water.may" "light" "sand" "time" "mortality" "f.time" "height" "dia" "Tbio" "cdia" "rgr" "flood" "wden"
"36" 497 "A1" 1 "a" 2 "Smac" 1 "H" "Mud" "Smac1" "Smac1" 36 160 120 168.453333333333 15.48459655 23.75 26.3 26 47.406 0 0 "0" NA NA 23.7582944427728 2.75 NA NA "Smac"
"37" 209 "A1" 1 "a" 2 "Sacu" 1 "H" "Mud" "8MSacu2" "aSacu1" 37 160 160 167.453333333333 15.48459655 23.75 26.3 26 47.406 0 0 "0" NA NA 19.7923478768811 2.51 NA NA "Sacu"
"38" 1489 "A1" 1 "a" 2 "Sbec" 3 "H" "Mud" "Sbec1" "Sbec3" 38 160 200 167.453333333333 15.48459655 23.75 26.3 26 47.406 0 0 "0" NA NA 12.4410210674809 1.99 NA NA "Sbec"
"39" 2001 "A1" 1 "a" 2 "Sbec" 4 "H" "Mud" "Sbec1" "Sbec4" 39 160 240 169.453333333333 15.48459655 23.75 26.3 26 47.406 0 0 "0" NA NA 18.2466842913149 2.41 NA NA "Sbec"
"40" 785 "A1" 1 "a" 2 "Sfal" 2 "H" "Mud" "Sfal1" "Sfal2" 40 160 280 168.953333333333 15.48459655 23.75 26.3 26 47.406 0 0 "0" NA NA 7.74371173183348 1.57 NA NA "Sfal"
"41" 753 "A1" 1 "a" 2 "Smec" 2 "H" "All" "Smec1" "Smec2" 41 200 0 154.453333333333 15.48459655 23.75 26.3 26 47.406 0 0 "0" NA NA 76.9768739945839 4.95 NA NA "Smec"
"42" 177 "A1" 1 "a" 2 "Spar" 1 "H" "Mud" "9QSpar10" "aSpar1" 42 200 40 155.453333333333 15.48459655 23.75 26.3 26 47.406 0 0 "0" NA NA 8.55298599939821 1.65 NA NA "Spar"
"43" 593 "A1" 1 "a" 2 "Ptom" 2 "H" "Mud" "9JPtom14m" "dPtom2" 43 200 80 154.453333333333 15.48459655 23.75 26.3 26 47.406 0 0 "0" NA NA 23.5858210060907 2.74 NA NA "Ptom"
"44" 945 "A1" 1 "a" 2 "Sgib" 2 "H" "Mud" "Sgib1" "Sgib2" 44 200 120 157.453333333333 15.48459655 23.75 26.3 26 47.406 0 0 "0" NA NA 4.5238934211693 1.2 NA NA "Sgib"
"45" 273 "A1" 1 "a" 2 "Sfal" 1 "H" "Mud" "Sfal1" "Sfal1" 45 200 160 163.453333333333 15.48459655 23.75 26.3 26 47.406 0 0 "0" NA NA 13.5917864564909 2.08 NA NA "Sfal"
"46" 113 "A1" 1 "a" 2 "Ssmi" 1 "H" "Mud" "90Ssmi10m" "bSsmi1" 46 200 200 164.453333333333 15.48459655 23.75 26.3 26 47.406 0 0 "0" NA NA 47.7836242611007 3.9 NA NA "Ssmi"
"47" 1361 "A1" 1 "a" 2 "Ssem" 3 "H" "All" "Ssem1" "Ssem3" 47 200 240 172.953333333333 15.48459655 23.75 26.3 26 47.406 0 0 "0" NA NA 58.3585392923493 4.31 NA NA "Ssem"
"48" 2033 "A1" 1 "a" 2 "Smac" 4 "H" "Mud" "Smac1" "Smac4" 48 200 280 171.453333333333 15.48459655 23.75 26.3 26 47.406 0 0 "0" NA NA 44.8883324715524 3.78 NA NA "Smac"
"49" 1329 "A1" 1 "a" 2 "Swal" 3 "H" NA "Swal1" "Swal3" 49 240 0 153.453333333333 15.48459655 23.75 26.3 26 47.406 0 0 "0" NA NA 61.6534416674343 4.43 NA NA "Swal"
"50" 1073 "A1" 1 "a" 2 "Pmal" 3 "H" "All" "9JPmal1a" "hPmal3" 50 240 40 151.453333333333 15.48459655 23.75 26.3 26 47.406 0 0 "0" NA NA 13.854423602331 2.1 NA NA "Pmal"
